ID             top(m)  bottom(m)  center(m)        age    del_18O      del_D      d-excess 
C1               1.63       1.99       1.81       0.03     -52.06    -403.92      12.56
C9-10-11         3.11       3.60       3.36       0.05     -52.41    -405.16      14.12
C19              5.13       5.47       5.30       0.08     -53.76    -415.06      15.03
C507             7.40       7.55       7.48       0.11     -55.42    -429.79      13.57
C512             8.21       8.37       8.29       0.12     -56.50    -435.95      16.05
C518             9.36       9.56       9.46       0.14     -55.09    -427.36      13.36
C533            12.06      12.22      12.14       0.18     -57.07    -439.86      16.70
C544            14.08      14.29      14.19       0.21     -56.15    -437.75      11.45
C558            16.56      16.74      16.65       0.25     -55.59    -431.24      13.48
C568            18.47      18.70      18.59       0.29     -57.14    -443.47      13.65
C587            21.59      21.75      21.67       0.35     -56.62    -437.56      15.41
C595            23.00      23.16      23.08       0.38     -54.05    -419.13      13.27
C604            24.49      24.65      24.57       0.41     -55.15    -427.56      13.65
C617            26.87      27.05      26.96       0.46     -56.10    -433.84      14.96
C628            28.58      28.78      28.68       0.49     -53.69    -414.43      15.09
C634            29.73      29.94      29.84       0.52     -55.05    -425.29      15.12
C645            31.66      31.86      31.76       0.56     -54.91    -424.03      15.25
C653            33.03      33.29      33.16       0.59     -53.04    -411.46      12.86
C661            34.56      34.75      34.66       0.63     -54.98    -425.93      13.91
C673            36.65      36.83      36.74       0.68     -55.35    -424.81      17.99
C681            37.94      38.10      38.02       0.71     -56.67    -437.49      15.87
C686            38.98      39.20      39.09       0.73     -53.95    -416.90      14.70
C701            41.58      41.75      41.67       0.80     -56.20    -434.65      14.95
C710            43.09      43.25      43.17       0.84     -57.89    -445.96      17.16
C719            44.56      44.72      44.64       0.88     -53.53    -414.12      14.12
C732            46.83      46.89      46.86       0.94     -56.11    -434.44      14.44
C740            48.16      48.32      48.24       0.97     -55.24    -427.17      14.75
C747            49.40      49.49      49.45       1.01     -55.44    -428.27      15.26
C759            51.50      51.67      51.59       1.06     -54.47    -420.46      15.30
C770            53.21      53.37      53.29       1.11     -53.59    -414.49      14.23
C778            54.54      54.65      54.60       1.15     -53.48    -414.33      13.51
C789            56.41      56.59      56.50       1.20     -55.88    -431.46      15.58
C798            58.08      58.30      58.19       1.25     -54.03    -416.73      15.51
C806            59.61      59.76      59.69       1.29     -54.58    -421.95      14.69
C817            61.58      61.74      61.66       1.35     -54.36    -422.47      12.41
C824            62.73      62.89      62.81       1.38     -54.78    -424.05      14.19
C834            64.34      64.52      64.43       1.43     -55.48    -428.37      15.47
C847            66.60      66.75      66.68       1.49     -54.39    -419.95      15.17
C855            67.90      68.08      67.99       1.53     -56.83    -438.64      16.00
C865            69.64      69.86      69.75       1.59     -55.10    -428.76      12.04
C876            71.66      71.82      71.74       1.65     -54.23    -420.06      13.78
C884            73.17      73.31      73.24       1.69     -54.51    -422.62      13.46
C893            74.55      74.74      74.65       1.74     -54.25    -421.58      12.42
C905            76.61      76.77      76.69       1.80     -53.65    -415.83      13.37
C912            78.06      78.30      78.18       1.85     -55.67    -433.43      11.93
C921            79.62      79.80      79.71       1.89     -55.99    -433.06      14.86
C934            81.74      81.91      81.83       1.96     -54.93    -427.80      11.64
C942            83.10      83.28      83.19       2.00     -56.16    -435.53      13.75
C951            84.47      84.62      84.55       2.05     -55.52    -430.47      13.69
C963            86.61      86.73      86.67       2.12     -55.48    -431.12      12.72
C969            87.80      87.97      87.89       2.16     -55.61    -428.12      16.76
C979            89.46      89.74      89.60       2.21     -55.02    -424.50      15.67
C991            91.50      91.65      91.58       2.28     -56.77    -437.46      16.70
C1000           92.86      93.06      92.96       2.32     -55.05    -425.75      14.65
C1009           94.42      94.58      94.50       2.38     -55.35    -428.21      14.59
C1021           96.36      96.58      96.47       2.44     -56.00    -432.05      15.95
C1030           97.87      98.04      97.96       2.49     -57.39    -444.15      14.97
