#Greenland,,
#TIME (yr),Discharge (Gt/yr),SMB (Gt/yr)
1958,411.00,308.60
1959,411.00,360.97
1960,411.00,281.36
1961,411.00,375.32
1962,411.00,307.44
1963,411.00,371.72
1964,411.00,606.92
1965,411.00,372.67
1966,411.00,171.82
1967,411.00,406.55
1968,411.00,270.69
1969,411.00,302.76
1970,411.00,458.35
1971,411.00,228.93
1972,411.00,678.20
1973,411.00,466.38
1974,411.00,369.75
1975,411.00,465.86
1976,411.00,578.31
1977,411.00,383.25
1978,411.00,469.49
1979,411.00,390.51
1980,411.00,388.74
1981,411.00,284.45
1982,411.00,297.96
1983,411.00,525.51
1984,411.00,476.33
1985,411.00,285.25
1986,411.00,495.37
1987,411.00,422.61
1988,411.00,376.40
1989,411.00,322.09
1990,411.00,376.93
1991,411.00,383.94
1992,411.00,511.80
1993,411.00,337.41
1994,411.00,368.73
1995,411.00,247.81
1996,411.00,559.02
1997,420.50,448.92
1998,430.00,200.05
1999,439.50,394.65
2000,449.00,413.43
2001,462.97,410.02
2002,479.11,299.30
2003,492.09,303.19
2004,510.85,319.94
2005,527.58,344.98
2006,509.81,256.59
2007,508.77,194.30
2008,506.42,227.24
2009,516.07,173.52
2010,531.85,127.00
2011,538.13,127.31
2012,532.49,86.11
2013,529.61,379.04
2014,532.65,296.02
2015,537.36,231.33
